Open,High,Low,Close,Volume,Symbol,MA50,MA200,ATR,RSI,Price_Momentum,Volume_Change,MACD,Bollinger_High,Bollinger_Low,Stoch_%K,Stoch_%D,Keltner_High,Keltner_Low,Keltner_Middle,Rolling_Mean,Rolling_Std,Z-Score,Williams_%R,Symbol_Encoded,Date,Day_Sin,Day_Cos,Month_Sin,Month_Cos,Close_Diff,Label,Predicted_Label,Entry_Price,Stop_Loss,Take_Profit
29.94,30.02,29.93,30.02,500.0,VLGEA,28.2308,28.32975,0.2974353834068566,76.6178116001386,5.81600281988015,-0.9584924456251036,0.1822365469159886,29.790755573872698,27.2902444261273,92.38578680203037,92.70939136221058,28.732833333333332,28.31983333333333,28.526333333333337,28.5405,0.6413675766835959,2.306789513199666,-7.614213197969642,32.0,2024-08-19 11:00:00-04:00,-0.651372482722222,-0.7587581226927911,-0.8660254037844384,-0.5000000000000004,0.4499999999999993,-1,-1,30.02,30.614870766813713,29.12769384977943
30.96,30.96,30.74,30.93,2203.0,VLGEA,29.0154,28.688,0.3057727924470274,70.93195756095685,4.422687373396349,0.4149004495825306,0.0385491144860079,30.746034305998062,29.32496569400194,97.90209790209782,84.77078477078477,30.238833333333332,29.84583333333333,30.042333333333335,30.035500000000003,0.3644964081839301,2.454070821868345,-2.097902097902178,32.0,2024-08-22 09:30:00-04:00,-0.968077118866204,-0.2506525322587213,-0.8660254037844384,-0.5000000000000004,0.5,0,-1,30.93,31.541545584894056,30.012681622658917
31.68,31.69,31.59,31.63,3376.0,VLGEA,29.7936,28.9826,0.2984947073659236,72.20230493623586,4.874005305039784,-0.2527667109340415,0.0621359144909021,31.746831288680667,29.736168711319323,96.68508287292804,89.99351247279424,30.9825,30.5185,30.7505,30.741499999999995,0.5157240694301212,1.7228205016333695,-3.314917127071945,32.0,2024-08-26 09:30:00-04:00,-0.848644257494751,0.5289640103269624,-0.8660254037844384,-0.5000000000000004,0.2399999999999984,0,-1,31.63,32.22698941473185,30.73451587790223
33.19,33.5,33.12,33.5,703.0,VLGEA,31.962999999999997,30.47475,0.2915110886629958,71.11521831446976,2.258852258852265,-0.829987908101572,0.0447378616900684,33.47802260751304,31.57597739248696,100.0,80.61638280616368,32.73833333333334,32.285333333333334,32.51183333333333,32.527,0.4878643038259768,1.9944070356643109,-0.0,32.0,2024-09-17 09:30:00-04:00,-0.2993631229733582,-0.9541392564000488,-1.0,-1.8369701987210294e-16,0.7100000000000009,0,-1,33.5,34.083022177325994,32.62546673401101
73.97,74.41,73.85,74.41,17809.0,CCOI,70.4092,66.72275,0.8396970781576573,73.02762034680103,3.620665645453271,-0.2666666666666667,0.1661747570919476,74.41183449251228,69.61916550748772,100.0,88.10148731408572,72.72983333333333,71.26983333333334,71.99983333333333,72.0155,1.2292936568362829,1.9478665546542335,-0.0,2.0,2024-08-15 14:00:00-04:00,0.1011683219874327,-0.994869323391895,-0.8660254037844384,-0.5000000000000004,0.5600000000000023,0,-1,74.41,76.08939415631531,71.89090876552703
75.33,75.98,75.27,75.87,60062.0,CCOI,72.2508,67.95945,0.7453633028356249,72.60797366635508,3.000271517784426,2.773686855993968,0.1160866538221641,75.62100148669904,72.42599851330095,96.80232558139537,95.60849470174206,74.68283333333333,73.25483333333332,73.96883333333332,74.0235,0.8195009713885358,2.2532005018509698,-3.197674418604637,2.0,2024-08-19 15:00:00-04:00,-0.651372482722222,-0.7587581226927911,-0.8660254037844384,-0.5000000000000004,0.5100000000000051,0,-1,75.87,77.36072660567126,73.63391009149314
75.36,76.33,75.17,76.33,16210.0,CCOI,72.40280000000001,68.05,0.7749802097759372,74.8549512222378,3.963497684554613,-0.7301122173753788,0.1529971856459372,76.0315299034283,72.2944700965717,100.0,97.9031806920802,74.83399999999999,73.371,74.10249999999999,74.163,0.9585356155705989,2.2607402007801514,-0.0,2.0,2024-08-20 09:30:00-04:00,-0.7907757369376986,-0.6121059825476627,-0.8660254037844384,-0.5000000000000004,0.4599999999999937,0,-1,76.33,77.87996041955188,74.00505937067219
73.89,74.23,73.58,74.23,37241.0,CCOI,71.6798,71.98845,0.7484634072207997,67.2429729536953,2.456866804692893,-0.0493439526216368,0.1065257939731278,74.11894992077283,71.56305007922715,100.0,96.97898301290115,73.55499999999999,72.007,72.781,72.841,0.6555744768809377,2.1187524056893285,-0.0,2.0,2024-09-24 13:00:00-04:00,-0.9884683243281114,0.1514277775045766,-1.0,-1.8369701987210294e-16,0.3400000000000034,0,-1,74.23,75.7269268144416,71.9846097783376
74.25,75.14,74.07,75.12,32806.0,CCOI,71.735,72.00645,0.7714303067050289,72.51400699885481,2.6650266502665065,-0.1190891759082731,0.1678828953260059,74.57730491945908,71.37369508054091,99.4910941475828,98.74733222488618,73.70016666666666,72.09416666666667,72.89716666666666,72.9755,0.8217085858142594,2.6098060030308052,-0.5089058524172007,2.0,2024-09-24 14:00:00-04:00,-0.9884683243281114,0.1514277775045766,-1.0,-1.8369701987210294e-16,0.8900000000000006,0,-1,75.12,76.66286061341006,72.80570907988492
74.65,76.35,74.43,75.79,22400.0,CCOI,72.7614,72.0583,0.7937462444237479,72.38807979839345,3.992864983534593,1.8684850813164295,0.1786918934509715,75.46186956021998,72.05813043978,85.26315789473715,85.6987913132586,74.50800000000001,72.949,73.7285,73.75999999999999,0.8730406634291951,2.3252067000252064,-14.736842105262856,2.0,2024-09-27 10:00:00-04:00,-0.72479278722912,0.6889669190756865,-1.0,-1.8369701987210294e-16,1.0100000000000051,-1,-1,75.79,77.37749248884751,73.40876126672876
